id,employee_id,trip_id,pickup_date,pickup_time
1830001,1000661,1379094,1/3/2022,12:15
1830002,1000662,1379094,1/3/2022,12:15
1830003,1002113,1379094,1/3/2022,12:15
1830004,1002428,1379094,1/3/2022,12:15
1830005,1000661,1379095,1/2/2022,23:00
1830006,1000662,1379095,1/2/2022,23:00
1830007,1002113,1379095,1/2/2022,23:00
1830008,1002428,1379095,1/2/2022,23:00
1830009,1000658,1379096,1/3/2022,11:50
1830010,1002115,1379096,1/3/2022,11:50
1830011,1003400,1379096,1/3/2022,16:34
1830012,1003401,1379096,1/3/2022,11:30
1830013,1000658,1379097,1/2/2022,23:00
1830014,1002115,1379097,1/2/2022,23:00
1830015,1003400,1379097,1/2/2022,23:00
1830016,1003401,1379097,1/2/2022,23:00
1830017,1003407,1379098,1/3/2022,13:00
1830018,1003408,1379098,1/3/2022,13:25
1830019,1003407,1379099,1/2/2022,23:00
1830020,1003408,1379099,1/2/2022,23:00
1830021,1003304,1379100,1/3/2022,12:30
1830022,1003404,1379100,1/3/2022,12:15
1830023,1003405,1379100,1/3/2022,12:15
1830024,1003304,1379101,1/2/2022,23:00
1830025,1003404,1379101,1/2/2022,23:00
1830026,1003405,1379101,1/2/2022,23:00
1830027,1001475,1379102,1/3/2022,13:00
1830028,1001475,1379103,1/2/2022,23:00
1830029,1003374,1379104,1/3/2022,12:05
1830030,1003375,1379104,1/3/2022,11:45
1830031,1003381,1379104,1/3/2022,12:05
1830032,1003382,1379104,1/3/2022,12:05
1830033,1003374,1379105,1/2/2022,23:00
1830034,1003375,1379105,1/2/2022,23:00
1830035,1003381,1379105,1/2/2022,23:00
1830036,1003382,1379105,1/2/2022,23:00
1830037,1001002,1379106,1/3/2022,12:40
1830038,1001556,1379106,1/3/2022,12:15
1830039,1003383,1379106,1/3/2022,12:25
1830040,1003403,1379106,1/3/2022,12:00
1830041,1001002,1379107,1/2/2022,23:00
1830042,1001556,1379107,1/2/2022,23:00
1830043,1003383,1379107,1/2/2022,23:00
1830044,1003403,1379107,1/2/2022,23:00
1830045,1003385,1379108,1/3/2022,16:00
1830046,1000657,1379109,1/3/2022,12:20
1830047,1003399,1379109,1/3/2022,12:00
1830048,1000657,1379110,1/2/2022,23:00
1830049,1003399,1379110,1/2/2022,23:00
1830050,1000661,1379111,1/4/2022,12:15
1830051,1000662,1379111,1/4/2022,12:15
1830052,1002113,1379111,1/4/2022,12:15
1830053,1002428,1379111,1/4/2022,12:15
1830054,1000661,1379112,1/3/2022,23:00
1830055,1000662,1379112,1/3/2022,23:00
1830056,1002113,1379112,1/3/2022,23:00
1830057,1002428,1379112,1/3/2022,23:00
1830058,1000658,1379113,1/4/2022,11:50
1830059,1002115,1379113,1/4/2022,11:50
1830060,1003400,1379113,1/4/2022,16:34
1830061,1003401,1379113,1/4/2022,11:30
1830062,1000658,1379114,1/3/2022,23:00
1830063,1002115,1379114,1/3/2022,23:00
1830064,1003400,1379114,1/3/2022,23:00
1830065,1003401,1379114,1/3/2022,23:00
1830066,1003407,1379115,1/4/2022,13:00
1830067,1003408,1379115,1/4/2022,13:25
1830068,1003407,1379116,1/3/2022,23:00
1830069,1003408,1379116,1/3/2022,23:00
1830070,1003304,1379117,1/4/2022,12:30
1830071,1003404,1379117,1/4/2022,12:15
1830072,1003405,1379117,1/4/2022,12:15
1830073,1003304,1379118,1/3/2022,23:00
1830074,1003404,1379118,1/3/2022,23:00
1830075,1003405,1379118,1/3/2022,23:00
1830076,1001475,1379119,1/4/2022,13:00
1830077,1001475,1379120,1/3/2022,23:00
1830078,1003374,1379121,1/4/2022,12:05
1830079,1003375,1379121,1/4/2022,11:45
1830080,1003381,1379121,1/4/2022,12:05
1830081,1003382,1379121,1/4/2022,12:05
1830082,1003374,1379122,1/3/2022,23:00
1830083,1003375,1379122,1/3/2022,23:00
1830084,1003381,1379122,1/3/2022,23:00
1830085,1003382,1379122,1/3/2022,23:00
1830086,1001002,1379123,1/4/2022,12:40
1830087,1001556,1379123,1/4/2022,12:15
1830088,1003383,1379123,1/4/2022,12:25
1830089,1003403,1379123,1/4/2022,12:00
1830090,1001002,1379124,1/3/2022,23:00
1830091,1001556,1379124,1/3/2022,23:00
1830092,1003383,1379124,1/3/2022,23:00
1830093,1003403,1379124,1/3/2022,23:00
1830094,1003385,1379125,1/4/2022,16:00
1830095,1000657,1379126,1/4/2022,12:20
1830096,1003399,1379126,1/4/2022,12:00
1830097,1000657,1379127,1/3/2022,23:00
1830098,1003399,1379127,1/3/2022,23:00
1830099,1000661,1379128,1/5/2022,12:15
1830100,1000662,1379128,1/5/2022,12:15
1830101,1002113,1379128,1/5/2022,12:15
1830102,1002428,1379128,1/5/2022,12:15
1830103,1000661,1379129,1/4/2022,23:00
1830104,1000662,1379129,1/4/2022,23:00
1830105,1002113,1379129,1/4/2022,23:00
1830106,1002428,1379129,1/4/2022,23:00
1830107,1000658,1379130,1/5/2022,11:50
1830108,1002115,1379130,1/5/2022,11:50
1830109,1003400,1379130,1/5/2022,16:34
1830110,1003401,1379130,1/5/2022,11:30
1830111,1000658,1379131,1/4/2022,23:00
1830112,1002115,1379131,1/4/2022,23:00
1830113,1003400,1379131,1/4/2022,23:00
1830114,1003401,1379131,1/4/2022,23:00
1830115,1003407,1379132,1/5/2022,13:00
1830116,1003408,1379132,1/5/2022,13:25
1830117,1003407,1379133,1/4/2022,23:00
1830118,1003408,1379133,1/4/2022,23:00
1830119,1003304,1379134,1/5/2022,12:30
1830120,1003404,1379134,1/5/2022,12:15
1830121,1003405,1379134,1/5/2022,12:15
1830122,1003304,1379135,1/4/2022,23:00
1830123,1003404,1379135,1/4/2022,23:00
1830124,1003405,1379135,1/4/2022,23:00
1830125,1001475,1379136,1/5/2022,13:00
1830126,1001475,1379137,1/4/2022,23:00
1830127,1003374,1379138,1/5/2022,12:05
1830128,1003375,1379138,1/5/2022,11:45
1830129,1003381,1379138,1/5/2022,12:05
1830130,1003382,1379138,1/5/2022,12:05
1830131,1003374,1379139,1/4/2022,23:00
1830132,1003375,1379139,1/4/2022,23:00
1830133,1003381,1379139,1/4/2022,23:00
1830134,1003382,1379139,1/4/2022,23:00
1830135,1001002,1379140,1/5/2022,12:40
1830136,1001556,1379140,1/5/2022,12:15
1830137,1003383,1379140,1/5/2022,12:25
1830138,1003403,1379140,1/5/2022,12:00
1830139,1001002,1379141,1/4/2022,23:00
1830140,1001556,1379141,1/4/2022,23:00
1830141,1003383,1379141,1/4/2022,23:00
1830142,1003403,1379141,1/4/2022,23:00
1830143,1003385,1379142,1/5/2022,16:00
1830144,1000657,1379143,1/5/2022,12:20
1830145,1003399,1379143,1/5/2022,12:00
1830146,1000657,1379144,1/4/2022,23:00
1830147,1003399,1379144,1/4/2022,23:00
1830148,1000661,1379145,1/6/2022,12:15
1830149,1000662,1379145,1/6/2022,12:15
1830150,1002113,1379145,1/6/2022,12:15
1830151,1002428,1379145,1/6/2022,12:15
1830152,1000661,1379146,1/5/2022,23:00
1830153,1000662,1379146,1/5/2022,23:00
1830154,1002113,1379146,1/5/2022,23:00
1830155,1002428,1379146,1/5/2022,23:00
1830156,1000658,1379147,1/6/2022,11:50
1830157,1002115,1379147,1/6/2022,11:50
1830158,1003400,1379147,1/6/2022,16:34
1830159,1003401,1379147,1/6/2022,11:30
1830160,1000658,1379148,1/5/2022,23:00
1830161,1002115,1379148,1/5/2022,23:00
1830162,1003400,1379148,1/5/2022,23:00
1830163,1003401,1379148,1/5/2022,23:00
1830164,1003407,1379149,1/6/2022,13:00
1830165,1003408,1379149,1/6/2022,13:25
1830166,1003407,1379150,1/5/2022,23:00
1830167,1003408,1379150,1/5/2022,23:00
1830168,1003304,1379151,1/6/2022,12:30
1830169,1003404,1379151,1/6/2022,12:15
