id,identifier,trip_date,vehicle_id,driver_id
1393589,Kaggadasapura,05/08/23,1000176,1000301
1393590,Kammanahalli,05/08/23,1000108,1000296
1393591,Kammanahalli,05/08/23,1000108,1000296
1393592,Kudulu,05/08/23,1000108,1000296
1393593,Nagharbavi,05/08/23,1000108,1000296
1393594,Varthur,05/08/23,1000176,1000301
1393630,Naganathapura,05/08/23,1000108,1000296
1393565,Arekere,05/06/23,1000233,1000263
1393566,Hebbal,05/06/23,1000108,1000296
1393567,Hebbal,05/06/23,1000108,1000296
1393568,Kaggadasapura,05/06/23,1000108,1000296
1393569,Kammanahalli,05/06/23,1000108,1000296
1393570,Varthur,05/06/23,1000176,1000301
1393587,Ulsoor,05/05/23,1000176,1000301
1393559,Arekere,05/05/23,1000233,1000263
1393560,Hebbal,05/05/23,1000108,1000296
1393561,Hebbal,05/05/23,1000108,1000296
1393562,Kaggadasapura,05/05/23,1000108,1000296
1393563,Kammanahalli,05/05/23,1000108,1000296
1393564,Varthur,05/05/23,1000176,1000301
1393578,Balegere,05/05/23,1000108,1000296
1393580,Kudulu,05/05/23,1000233,1000263
1393586,Ulsoor,05/04/23,1000176,1000301
1393553,Arekere,05/04/23,1000233,1000263
1393554,Hebbal,05/04/23,1000108,1000296
1393555,Hebbal,05/04/23,1000108,1000296
1393556,Kaggadasapura,05/04/23,1000176,1000301
1393557,Kammanahalli,05/04/23,1000108,1000296
1393558,Varthur,05/04/23,1000176,1000301
1393577,Kammanahalli,05/04/23,1000108,1000296
1393583,MG Road,05/04/23,1000225,1000372
1393585,Ulsoor,05/03/23,1000176,1000301
1393547,Arekere,05/03/23,1000233,1000263
1393548,Hebbal,05/03/23,1000108,1000296
1393549,Hebbal,05/03/23,1000108,1000296
1393550,Kaggadasapura,05/03/23,1000176,1000301
1393551,Kammanahalli,05/03/23,1000108,1000296
1393552,Varthur,05/03/23,1000108,1000296
1393575,Nagharbavi,05/03/23,1000108,1000296
1393576,Kammanahalli,05/03/23,1000108,1000296
1393579,Jayadeva,05/02/23,1000233,1000263
1393582,MG Road,05/03/23,1000225,1000372
1393584,Ulsoor,05/02/23,1000176,1000301
1393541,Arekere,05/02/23,1000233,1000263
1393542,Hebbal,05/02/23,1000108,1000296
1393543,Hebbal,05/02/23,1000108,1000296
1393544,Kaggadasapura,05/02/23,1000176,1000301
1393545,Kammanahalli,05/02/23,1000108,1000296
1393546,Varthur,05/02/23,1000108,1000296
1393572,Nagharbavi,05/02/23,1000108,1000296
1393573,Kammanahalli,05/02/23,1000108,1000296
1393574,Kudulu,05/02/23,1000108,1000296
1393581,MG Road,05/02/23,1000225,1000372
1393535,Arekere,05/01/23,1000233,1000263
1393536,Hebbal,05/01/23,1000108,1000296
1393537,Hebbal,05/01/23,1000108,1000296
1393538,Kaggadasapura,05/01/23,1000108,1000296
1393539,Kammanahalli,05/01/23,1000108,1000296
1393540,Varthur,05/01/23,1000176,1000301
1393571,Nagharbavi,05/01/23,1000108,1000296
1393494,Arekere,04/29/23,1000108,1000296
1393495,Begur,04/29/23,1000233,1000263
1393496,Begur,04/28/23,1000233,1000263
1393497,Hebbal,04/29/23,1000108,1000296
1393498,Hebbal,04/29/23,1000108,1000296
1393499,HSR Layout,04/29/23,1000233,1000263
1393500,Jayadeva,04/28/23,1000108,1000296
1393501,Jayadeva,04/29/23,1000108,1000296
1393502,Kaggadasapura,04/29/23,1000108,1000296
